,Date,PPPB,PPPB_T,PPPB_0,COSTO,COSTO_T,AHORRO,ENER,ENER_H,ENER_T,DISPO,DISPO_H,DISPO_T,DISPA,DISPA_H,DISPA_T,FORMA_01,FORMA_02,FORMA_03,AHORRO100
1494,2022-02-05,663.4510631702188,655.9134448624579,316.0020759429502,123364081.03906,121962513.67806001,0.011361227264816365,185943.0,137838.0,48105.0,0.7758369446544345,0.7886829604413037,0.7494674369741102,317147520.0,221942540.0,92655580.0,0.35018889132608894,0.4725188342617727,0.18656351396355142,1.1361227264816365
1495,2022-02-06,642.0455092972755,593.4181296502119,207.0483102048599,108094139.89978,99907282.88978001,0.07573821316854434,168359.0,126429.0,41930.0,0.8302652858123948,0.8448095091973439,0.8015266051792563,339396800.0,237737060.0,99091580.0,0.3012262174154107,0.31451873787337387,0.2108243744608842,7.573821316854435
1496,2022-02-07,616.4594014522618,599.6367957562775,275.22281368227465,117989096.51916,114769283.43416,0.027289073143103026,191398.0,144784.0,46614.0,0.8358159086552014,0.8404933725803978,0.8298070445858141,341665790.0,236522460.0,102587850.0,0.3714490793101591,0.4462740031147052,0.2836405832981431,2.7289073143103026
1497,2022-02-08,533.3653043134328,529.5049158017802,201.12303028885609,103605676.99758,102855800.38958,0.00723779458549878,194249.0,154665.0,39584.0,0.8204891138802071,0.8224456940690005,0.8204888093819098,337629590.0,233678100.0,101435850.0,0.3962463878818144,0.41075601223596675,0.34957702713320155,0.723779458549878
1498,2022-02-09,514.0265536698035,492.6768203566858,215.95880296953774,100013632.52098,95859636.25998001,0.04153430043777895,194569.0,163895.0,30674.0,0.806111315530512,0.8213277963001693,0.776202925925854,331352340.0,232992850.0,95960850.0,0.3520464612491773,0.4113992016975958,0.33839236348994955,4.153430043777895
1499,2022-02-10,420.4569448689953,401.7406459567079,209.40297475404086,81601022.48934,77968619.34534,0.04451418662645468,194077.0,164833.0,29244.0,0.8049424805826288,0.8177738946299391,0.7807488010860921,330591770.0,231700100.0,96522850.0,0.43472475123136095,0.4970712912735719,0.44895820112691925,4.451418662645468
1500,2022-02-11,362.9328531824975,352.30186721438065,180.83507691942046,69938612.53968,67889979.01968001,0.029291881059803626,192704.0,162884.0,29820.0,0.8205040507811187,0.8377417102999298,0.786815360463634,337452600.0,237837110.0,97272850.0,0.4809653357493196,0.495765184388806,0.4815750123706442,2.9291881059803626
1501,2022-02-12,317.56356470572166,310.55848206745867,170.06300461832578,58137949.6085,56855494.104499996,0.022058836141212956,183075.0,156854.0,26221.0,0.8105554668865761,0.833683772590049,0.7631697724215182,332989440.0,236302890.0,94349580.0,0.48828163461325286,0.5306188894910595,0.5190537177476113,2.2058836141212956
1502,2022-02-13,286.76680379029096,274.6787681867156,182.81076653745444,47642002.947699994,45633757.1527,0.04215284141610476,166135.0,136483.0,29652.0,0.8404258660951457,0.8617044253656604,0.7980160894861188,345449280.0,244438550.0,98657580.0,0.5584033256671541,0.6424802682288585,0.5774195137894136,4.215284141610476
1503,2022-02-14,335.2958841439534,317.490422572109,175.039088642498,63354157.309,59989815.345,0.05310372841976163,188950.0,159298.0,29652.0,0.8048688508138783,0.8156909912738988,0.7852137887879629,331593050.0,232155340.0,97074850.0,0.48789990533519684,0.5232636642112993,0.5184199961798556,5.310372841976163
1504,2022-02-15,342.12873893931453,323.32271695000526,203.83277592705167,65285005.96439999,61696440.848400004,0.05496767692656479,190820.0,162032.0,28788.0,0.8229201852535637,0.8498882885064928,0.764749261821055,339006210.0,241863820.0,94544850.0,0.5086062259664412,0.5914791328693639,0.49654652451502196,5.496767692656479
1505,2022-02-16,337.8513240768012,330.7349100348338,195.47227008969168,64789072.715560004,63424372.22756,0.021063744714967192,191768.0,159512.0,32256.0,0.8204553781135865,0.8339021303417513,0.7933348896080323,337990820.0,237314430.0,98078850.0,0.5393862368277901,0.5762629350540893,0.5181791758175596,2.106374471496719
1506,2022-02-17,312.91166473345356,298.48125642029356,208.20635919649757,60751799.708000004,57950135.934,0.046116556010950216,194150.0,164498.0,29652.0,0.8289290565266035,0.8434198465893573,0.8004853409276951,341396050.0,239935970.0,98962850.0,0.5842586179917092,0.664836056133592,0.539137268342394,4.611655601095022
1507,2022-02-18,317.1452470965067,302.0625257945475,181.67203551777757,61190003.9748,58279943.7268,0.04755777184127097,192940.0,163288.0,29652.0,0.832575278779846,0.8489026457333131,0.7996683775981861,343099570.0,241701490.0,98861850.0,0.5153985913272269,0.570600244516993,0.5141132971265036,4.755777184127097
1508,2022-02-19,307.9307816102747,291.8327431234148,177.11364510387997,57062653.140200004,54079525.628199995,0.05227810744569872,185310.0,151722.0,33588.0,0.82032522008455,0.8172840093099566,0.8316329171835375,338051390.0,232698960.0,102813580.0,0.5441229959095434,0.5754913771363351,0.5463548972540334,5.227810744569872
1509,2022-02-20,267.15713919863254,257.4711570572696,150.97426671934207,44699129.58788,43078529.17188,0.03625574884660443,167314.0,135888.0,31426.0,0.8409724445101368,0.8434078326958507,0.8401261003120962,346294180.0,239870410.0,103863580.0,0.5632807143402158,0.56599262971951,0.5890725404038729,3.625574884660443
1510,2022-02-21,269.61876052347753,262.2434918768907,173.68242626594764,51247785.9065,49845931.718499996,0.027354434210243417,190075.0,158503.0,31572.0,0.84643041052261,0.844701962310297,0.8554888126174082,349416590.0,241111620.0,105762850.0,0.5812136371258111,0.6486465053712469,0.5857363973119472,2.7354434210243417
1511,2022-02-22,288.98989423476877,280.1106095733865,162.6656432214136,56109410.89494,54385435.622940004,0.030725242780181516,194157.0,162836.0,31321.0,0.8191034980165465,0.8141919024170047,0.8348058895129087,337408350.0,231679830.0,103205850.0,0.5402789043380759,0.5813367769051973,0.575002101508112,3.0725242780181516
1512,2022-02-23,258.21581329313665,252.78005536626043,147.21435668248876,50319806.6155,49260513.2895,0.021051220130756776,194875.0,166694.0,28181.0,0.8267974910087287,0.8256009294502199,0.8349919306671533,340577690.0,234926290.0,103228850.0,0.5476185863894172,0.5779647886596012,0.5810695334964239,2.1051220130756776
1513,2022-02-24,263.3800970276459,260.4993529100442,151.28334180127706,51188185.23742001,50628309.73742,0.010937592286251241,194351.0,167959.0,26392.0,0.8287766912859682,0.8287964803830213,0.833948482454216,341392970.0,235835590.0,103099850.0,0.5492074250891279,0.5798828995677431,0.5711297028509411,1.093759228625124
