FECHA	HORA	I_A	I_B	I_C	KVA_Tot	kVAr_Tot	kW_Tot	V_A_B	V_B_C	V_C_A
2018-10-29	16:00:00	85.6046905517578	88.3040542602539	86.1029891967774	1693.0341796875	214.503433227539	1681.03210449219	11197.189453125	11223.685546875	11273.82421875
2018-10-29	17:00:00	82.9014739990234	84.4018936157227	82.9010543823242	1617	208	1604	11244.02734375	11267.9482421875	11322.1484375
2018-10-29	18:00:00	84.924674987793	85.251335144043	85.2293319702148	1667	155	1660	11277.8583984375	11299.771484375	11370.47265625
2018-10-29	19:00:00	84.3376388549805	84.1062469482422	84.1147689819336	1635.57043457031	121.285194396973	1630.80871582031	11307.22265625	11331.580078125	11418.796875
2018-10-29	20:00:00	73.4295196533203	73.3992538452148	73.7210845947266	1444.15368652344	116.084342956543	1439.15368652344	11336.5869140625	11363.3896484375	11435.0185546875
2018-10-29	21:00:00	64.588493347168	64.224006652832	63.7488059997559	1249.15869140625	81.3472213745117	1246.15869140625	11365.951171875	11395.1982421875	11442.6484375
2018-10-29	22:00:00	52.466064453125	52.2438926696777	51.3886871337891	1055.68322753906	88.2172088623047	1051.90502929688	11232.5546875	11272.78515625	11315.8359375
2018-10-29	23:00:00	51.6974716186523	51.499080657959	50.7009201049805	1002.99078369141	60.0344963073731	1000.99584960938	11276.1416015625	11324.7900390625	11364.8408203125
2018-10-30	00:00:00	48.2236251831055	48.9777984619141	48.7930755615234	942.138488769531	55.5274925231934	940.138488769531	11254.87109375	11376.7958984375	11413.8466796875
2018-10-30	01:00:00	48.1015739440918	48.2017707824707	47.5003929138184	935.013793945313	57.007869720459	945.134094238281	11232.296875	11361.53515625	11409.525390625
2018-10-30	02:00:00	48.4970321655274	47.9990882873535	48.3977165222168	935.004577636719	60.984016418457	923.248291015625	11209.72265625	11310.046875	11376.484375
2018-10-30	03:00:00	47.8013420104981	49.1992340087891	48.9986572265625	941.013427734375	72.9980850219727	937.993469238281	11187.1484375	11258.55859375	11343.443359375
2018-10-30	04:00:00	49.0083045959473	47.8332176208496	49.2999992370605	963.00341796875	70.9169540405273	960.00341796875	11164.5751953125	11207.0712890625	11310.4033203125
2018-10-30	05:00:00	51.798770904541	50.5997924804688	51.5981521606445	976.014343261719	52	966.0087890625	11142.0009765625	11155.5830078125	11277.3623046875
2018-10-30	06:00:00	61.7965278625488	61.2993431091309	58.6995658874512	1175.03271484375	124.008735656738	1169.03051757813	11337.0302734375	11365.8046875	11415.2783203125
2018-10-30	07:00:00	69.2954254150391	68.6026153564453	66.8993453979492	1341.58825683594	149.568634033203	1333.58825683594	11270.423828125	11298.697265625	11347.0029296875
2018-10-30	08:00:00	78.8222427368164	76.0741424560547	74.6667327880859	1462	145	1453	11203.8173828125	11231.5908203125	11278.7275390625
2018-10-30	09:00:00	88.49072265625	88.7907180786133	88.2304077148438	1712.22680664063	203.226791381836	1700.17004394531	11137.2119140625	11164.484375	11210.4521484375
2018-10-30	10:00:00	91.1572341918945	91.6524658203125	91.4548492431641	1753	219	1740	11070.60546875	11097.376953125	11142.1767578125
2018-10-30	13:00:00	88.807731628418	90.0054931640625	89.5056915283203	1747.10986328125	249.002029418945	1730.10986328125	11134.0244140625	11159.4853515625	11205.9375
2018-10-30	14:00:00	88.1343841552734	89.0671920776367	88.3539428710938	1698.92114257813	252.064254760742	1679.41333007813	11166.9287109375	11193.390625	11239.466796875
